match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 Final, Super Kings , RCB,May 28,2011,Super Kings , 58 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-royal-challengers-bangalore-final-501271/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 1st Qualifying Final, Super Kings , RCB,May 24,2011,Super Kings , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 69th match, Super Kings , RCB,May 22,2011,RCB , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-royal-challengers-bangalore-1st-qualifying-final-501268/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 64th match, Super Kings , Kochi,May 18,2011,Super Kings , 11 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-chennai-super-kings-69th-match-501266/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png",https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg
 56th match, Super Kings , Daredevils,May 12,2011,Super Kings , 18 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kings-xi-punjab-vs-royal-challengers-bangalore-63rd-match-501260/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 52nd match, Super Kings , Royals,May 09,2011,Super Kings , 63 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kolkata-knight-riders-58th-match-501255/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 48th match, Super Kings , KKR,May 07,2011,KKR , 10 runs ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/rajasthan-royals-vs-royal-challengers-bangalore-55th-match-501252/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 43rd match, Super Kings , Royals,May 04,2011,Super Kings , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kochi-tuskers-kerala-50th-match-501247/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 39th match, Super Kings , Chargers,May 01,2011,Super Kings , 19 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kings-xi-punjab-47th-match-501244/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 31st match, Super Kings , Warriors,April 27,2011,Super Kings , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-pune-warriors-35th-match-501232/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 29th match, Super Kings , Warriors,April 25,2011,Super Kings , 25 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/delhi-daredevils-vs-royal-challengers-bangalore-30th-match-501227/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png"
 25th match, Super Kings , Mumbai,April 22,2011,Mumbai , 8 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kolkata-knight-riders-vs-royal-challengers-bangalore-24th-match-501222/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 18th match, Super Kings , Kochi,April 18,2011,Kochi , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-rajasthan-royals-20th-match-501217/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png",https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg
